"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
180,642207,"Williams, Devin",391,46,0.114,0.086,0.158,0.2,0.216,0.246,0.155,4,35,78.9,8.8,2515,90.6,91.94,35,85,95,1.3000000000000114,7.21,120,147,120,150,301,324,296,"4.373","-4.373","68.5","7.0",41,20,3,0,0,1,15,36.6,5,12.2,2.18467,0.64348,1.22033,-1.22033,"90.2",174,30,10,4.878048780487805,5.25,-2.43,-0.22,2.49,0.244,2,"-2.429444444",0.279,0.237,"2.429444444",-0.041,-0.03500000000000003,-0.037,-0.03,41.2,"23.3",8.66174426283732,2.039266392047925,31.36823629140982,0.37349397590361444,38.64791070833248,27.816479081304113
241,595345,"Okert, Steven",616,39.1,0.193,0.105,0.233,0.298,0.253,0.246,0.183,11,57,79.5,25,2436,85.7,85.95,31,116,125,0.29999999999999716,6.47,114,145,117,152,293,324,297,"2.726","-2.726","66.7","7.1",65,45,7,3,0,1,14,21.5,4,6.2,2.54793,0.6013,-0.16631,-0.16631,"89.9",163,20,4.444444444444445,3.076923076923077,5.74,2.96,-0.22,2.43,0.266,2,"-1.131120332",0.265,0.265,"1.131120332",0.01,0.0010000000000000009,0.033,0.007,26.7,"33.7",10.107867889483586,-5.043317810850716,31.168896342487873,0.5462962962962963,38.01922773214901,32.52615385753972
409,664285,"Valdez, Framber",2598,15.7,0.252,0.131,0.352,0.383,0.298,0.246,0.209,27,107,84.5,1.1,2358,89.2,88.29,53,189,220,-0.9000000000000057,5.86,111,146,108,150,286,324,302,"1.68","-1.68","68.6","7.1",114,73,17,8,0,2,34,29.8,5,4.4,2.9032,0.03242,0.52963,0.52963,"90.9",99,32.87671232876712,5.47945205479452,3.508771929824561,6.06,0.65,-0.08,1.97,0.298,4,"-0.410757946",0.258,0.29,"0.410757946",0.043,0.03999999999999998,0.093,0.052,28,"43.9",10.241540651578696,-1.0148879387033614,35.59380079038007,0.4074074074074074,35.03820588687162,32.03165186206486
86,642028,"Rogers, Josh",170,50.6,0.3,0.1,0.316,0.4,0.292,0.245,0.216,6,20,87.8,25.4,2244,83.1,83.05,9,45,41,0,6.15,113,143,112,146,295,335,306,"0.778","-0.778","69.6","7.3",23,19,4,2,0,0,3,13,1,4.3,2.85721,0.47482,-0.255,-0.255,"91.5",169,36.84210526315789,0,0,5.89,2.66,-0.54,2.39,0.304,0,"-0.904651163",0.254,0.29,"0.904651163",0.084,0.04999999999999999,0.11,0.047,20,"35.6",11.984288762197247,-8.876959635718244,29.519281657536528,0.5227272727272727,40.29504662815634,34.33847912684867
355,657649,"Koenig, Jared",1017,34.9,0.198,0.077,0.235,0.275,0.225,0.245,0.199,18,91,82.9,3,2384,91.3,91.15,40,178,177,-0.20000000000000284,6.25,113,146,116,150,294,318,299,"5.84","-5.84","68.0","6.8",96,70,15,1,0,2,21,21.9,4,4.2,2.1331,0.6387,0.51745,0.51745,"90.9",128,27.142857142857142,7.142857142857142,5.208333333333334,5.86,3.01,-0.18,2.32,0.232,5,"-1.645070423",0.233,0.322,"1.645070423",-0.001,-0.0010000000000000009,-0.047,-0.02,22.5,"31.7",4.756657279491065,2.7394566201556123,32.02136473313132,0.44508670520231214,36.047223083258935,26.733463168955048
487,669062,"Miller, Erik",1269,38.4,0.163,0.054,0.288,0.217,0.242,0.244,0.168,15,92,88.2,19.1,2328,91,91.35,69,192,295,0.29999999999999716,6.52,114,146,115,151,284,318,303,"7.202","-7.202","65.2","7.0",108,52,10,5,0,0,40,37,15,13.9,2.11608,0.68722,0.23433,0.23433,"90.8",157,38.46153846153847,0,0,6.49,1.08,-0.47,2.43,0.287,0,"-1.478850103",0.291,0.214,"1.478850103",-0.005,-0.0040000000000000036,0.003,-0.002,35.9,"40.8",7.441263639864664,0.2612135851753596,30.51105007746087,0.45054945054945056,39.69599397098067,27.500452153107588
317,607455,"Banda, Anthony",774,41,0.218,0.051,0.315,0.269,0.251,0.244,0.2,17,78,82.6,4,2230,92.1,92.17,48,156,161,0.10000000000000853,6.33,112,147,120,153,285,313,300,"4.681","-4.681","65.9","6.9",87,56,13,4,0,0,24,27.6,5,5.7,2.24965,0.4669,0.50312,0.50312,"91.5",120,32.142857142857146,3.571428571428571,2.2988505747126435,5.39,2.76,-0.26,2.22,0.282,2,"-1.476656151",0.267,0.268,"1.476656151",0.018,0.014999999999999958,0.001,0.007,30.8,"33.8",7.398173542038802,1.3020209298007073,30.93625362215268,0.40789473684210525,37.35910423470035,28.911612748820158
412,673513,"Matsui, Yuki",1049,39.3,0.216,0.182,0.281,0.398,0.289,0.244,0.188,19,88,88.7,21.1,2456,88.4,87.67,80,213,199,-0.7000000000000028,5.88,118,146,116,152,289,322,303,"3.176","-3.176","67.1","7.2",98,60,10,5,1,3,30,30.6,8,8.2,2.05641,0.8851,-0.02292,-0.02292,"91.2",172,36.666666666666664,5,3.061224489795918,6,1.99,-0.16,2.16,0.276,3,"-0.770873786",0.251,0.296,"0.770873786",0.028,0.025000000000000022,0.102,0.045,37.6,"57.9",11.089495884649738,-8.344410305006523,31.73403929672677,0.5707070707070707,37.94360806455267,32.87775955498366
38,622503,"Crismatt, Nabil",93,40.9,0.091,0.091,0.125,0.182,0.114,0.243,0.181,1,11,82.8,10.1,1767,82.4,83.11,3,21,17,0.6999999999999886,6.82,116,147,122,153,286,317,306,"2.003","-2.003","70.5","7.5",11,8,0,1,0,0,3,27.3,0,0,3.23211,0.16162,0.62474,-0.62474,"90.8",181,12.5,12.5,9.090909090909092,5.54,-2.59,-0.22,2.19,0.091,1,"-5.271052632",0.181,0.398,"5.271052632",-0.09,-0.09,-0.216,-0.129,14.3,"33.8",12.351810519136404,-6.1867225539550805,36.89460431287057,0.4166666666666667,36.7893992749195,34.12393062988455
438,681911,"Vesia, Alex",1109,39.5,0.144,0.167,0.189,0.311,0.245,0.243,0.149,13,90,82.6,31.3,2409,90.4,90.6,62,212,226,0.19999999999998863,6.35,114,148,123,153,285,311,299,"5.154","-5.154","67.1","6.8",105,59,5,4,1,3,34,32.4,10,9.5,1.61941,1.18656,0.12048,0.12048,"90.0",182,28.8135593220339,11.864406779661017,6.666666666666667,5.91,0.52,-0.22,2.69,0.238,7,"-1.176712329",0.242,0.296,"1.176712329",-0.005,-0.0040000000000000036,0.015,0.002,29.2,"61.9",5.98828345514489,0.20278976076258465,29.852447746722966,0.4742268041237113,36.78011033870073,27.33610797216161
